Sun Oct 8 17:31:17 CEST 2017 create_training_files
/tmp/eng_news_2015_3M-sentences-raw.txt_small
300000 lines
397 accept
202 except
/tmp/accept_except
2481 lines
1631 accept
850 except
/tmp/accept_except_training
1985 lines
1301 accept
684 except
/tmp/accept_except_validate
496 lines
330 accept
166 except
generate /tmp/accept_except_training.py, /tmp/accept_except_validate.py
epoch 1560, training accuracy 0.946481
epoch 1570, training accuracy 0.946481
epoch 1580, training accuracy 0.947214
epoch 1590, training accuracy 0.947214
epoch 1600, training accuracy 0.947214
epoch 1610, training accuracy 0.947947
epoch 1620, training accuracy 0.948680
epoch 1630, training accuracy 0.948680
epoch 1640, training accuracy 0.948680
epoch 1650, training accuracy 0.949413
epoch 1660, training accuracy 0.949413
epoch 1670, training accuracy 0.949413
epoch 1680, training accuracy 0.949413
epoch 1690, training accuracy 0.949413
epoch 1700, training accuracy 0.949413
epoch 1710, training accuracy 0.950147
epoch 1720, training accuracy 0.950147
epoch 1730, training accuracy 0.950880
epoch 1740, training accuracy 0.950880
epoch 1750, training accuracy 0.950880
epoch 1760, training accuracy 0.950880
epoch 1770, training accuracy 0.950880
epoch 1780, training accuracy 0.950880
epoch 1790, training accuracy 0.951613
epoch 1800, training accuracy 0.953079
epoch 1810, training accuracy 0.953079
epoch 1820, training accuracy 0.953812
epoch 1830, training accuracy 0.956012
epoch 1840, training accuracy 0.958211
epoch 1850, training accuracy 0.958211
epoch 1860, training accuracy 0.958211
epoch 1870, training accuracy 0.958211
epoch 1880, training accuracy 0.958944
epoch 1890, training accuracy 0.958944
epoch 1900, training accuracy 0.959677
epoch 1910, training accuracy 0.959677
epoch 1920, training accuracy 0.959677
epoch 1930, training accuracy 0.960411
epoch 1940, training accuracy 0.960411
epoch 1950, training accuracy 0.960411
epoch 1960, training accuracy 0.961144
epoch 1970, training accuracy 0.961144
epoch 1980, training accuracy 0.961144
epoch 1990, training accuracy 0.961144
epoch 2000, training accuracy 0.961144
epoch 2010, training accuracy 0.961144
epoch 2020, training accuracy 0.961144
epoch 2030, training accuracy 0.961144
epoch 2040, training accuracy 0.961144
epoch 2050, training accuracy 0.961877
epoch 2060, training accuracy 0.961877
epoch 2070, training accuracy 0.961877
epoch 2080, training accuracy 0.961877
epoch 2090, training accuracy 0.961877
epoch 2100, training accuracy 0.961877
epoch 2110, training accuracy 0.961877
epoch 2120, training accuracy 0.961877
epoch 2130, training accuracy 0.961877
epoch 2140, training accuracy 0.961877
epoch 2150, training accuracy 0.961877
epoch 2160, training accuracy 0.961877
epoch 2170, training accuracy 0.961877
epoch 2180, training accuracy 0.962610
epoch 2190, training accuracy 0.962610
epoch 2200, training accuracy 0.962610
epoch 2210, training accuracy 0.962610
epoch 2220, training accuracy 0.962610
epoch 2230, training accuracy 0.962610
epoch 2240, training accuracy 0.962610
epoch 2250, training accuracy 0.963343
epoch 2260, training accuracy 0.963343
epoch 2270, training accuracy 0.963343
epoch 2280, training accuracy 0.963343
epoch 2290, training accuracy 0.963343
epoch 2300, training accuracy 0.963343
epoch 2310, training accuracy 0.963343
epoch 2320, training accuracy 0.963343
epoch 2330, training accuracy 0.963343
epoch 2340, training accuracy 0.963343
epoch 2350, training accuracy 0.963343
epoch 2360, training accuracy 0.964076
epoch 2370, training accuracy 0.964076
epoch 2380, training accuracy 0.964076
epoch 2390, training accuracy 0.964809
epoch 2400, training accuracy 0.964809
epoch 2410, training accuracy 0.964809
epoch 2420, training accuracy 0.964809
epoch 2430, training accuracy 0.964809
epoch 2440, training accuracy 0.965542
epoch 2450, training accuracy 0.966276
epoch 2460, training accuracy 0.966276
epoch 2470, training accuracy 0.966276
epoch 2480, training accuracy 0.966276
epoch 2490, training accuracy 0.966276
epoch 2500, training accuracy 0.966276
epoch 2510, training accuracy 0.966276
epoch 2520, training accuracy 0.966276
epoch 2530, training accuracy 0.967009
epoch 2540, training accuracy 0.967009
epoch 2550, training accuracy 0.967009
epoch 2560, training accuracy 0.967009
epoch 2570, training accuracy 0.967009
epoch 2580, training accuracy 0.967009
epoch 2590, training accuracy 0.967742
epoch 2600, training accuracy 0.967742
epoch 2610, training accuracy 0.968475
epoch 2620, training accuracy 0.968475
epoch 2630, training accuracy 0.968475
epoch 2640, training accuracy 0.969208
epoch 2650, training accuracy 0.969941
epoch 2660, training accuracy 0.969941
epoch 2670, training accuracy 0.969941
epoch 2680, training accuracy 0.969941
epoch 2690, training accuracy 0.969941
epoch 2700, training accuracy 0.969941
epoch 2710, training accuracy 0.969941
epoch 2720, training accuracy 0.969941
epoch 2730, training accuracy 0.969941
epoch 2740, training accuracy 0.969941
epoch 2750, training accuracy 0.969941
epoch 2760, training accuracy 0.969941
epoch 2770, training accuracy 0.970675
epoch 2780, training accuracy 0.970675
epoch 2790, training accuracy 0.970675
epoch 2800, training accuracy 0.970675
epoch 2810, training accuracy 0.970675
epoch 2820, training accuracy 0.970675
epoch 2830, training accuracy 0.970675
epoch 2840, training accuracy 0.970675
epoch 2850, training accuracy 0.971408
epoch 2860, training accuracy 0.971408
epoch 2870, training accuracy 0.972141
epoch 2880, training accuracy 0.972141
epoch 2890, training accuracy 0.972141
epoch 2900, training accuracy 0.972141
epoch 2910, training accuracy 0.972141
epoch 2920, training accuracy 0.972141
epoch 2930, training accuracy 0.972141
epoch 2940, training accuracy 0.972141
epoch 2950, training accuracy 0.972141
epoch 2960, training accuracy 0.972141
epoch 2970, training accuracy 0.972141
epoch 2980, training accuracy 0.972141
epoch 2990, training accuracy 0.972141
epoch 3000, training accuracy 0.972141
/tmp/accept_except_validate.py loaded, containing 332 entries, class distribution: [166 166]
correct: [139, 134]
incorrect: [5, 4]
accuracy: [0.9652777777777778, 0.9710144927536232]
unclassified: [22, 28]
total accuracy: [0.8373493975903614, 0.8072289156626506]
Sun Oct 8 17:31:43 CEST 2017 finished, res_training/eng/accept_except
