Sat Oct 14 13:57:26 CEST 2017 create_training_files
/tmp/eng_news_2015_3M-sentences-raw.txt_small
300000 lines
13684 their
9744 there
/tmp/their_there
78914 lines
40459 their
40000 there
/tmp/their_there_training
63132 lines
32332 their
32049 there
/tmp/their_there_validate
15782 lines
8127 their
7951 there
generate /tmp/their_there_training.py, /tmp/their_there_validate.py
epoch 2290, training accuracy 0.993255
epoch 2300, training accuracy 0.993240
epoch 2310, training accuracy 0.993210
epoch 2320, training accuracy 0.993195
epoch 2330, training accuracy 0.993225
epoch 2340, training accuracy 0.993210
epoch 2350, training accuracy 0.993255
epoch 2360, training accuracy 0.993255
epoch 2370, training accuracy 0.993240
epoch 2380, training accuracy 0.993195
epoch 2390, training accuracy 0.993210
epoch 2400, training accuracy 0.993210
epoch 2410, training accuracy 0.993210
epoch 2420, training accuracy 0.993270
epoch 2430, training accuracy 0.993270
epoch 2440, training accuracy 0.993225
epoch 2450, training accuracy 0.993195
epoch 2460, training accuracy 0.993225
epoch 2470, training accuracy 0.993225
epoch 2480, training accuracy 0.993225
epoch 2490, training accuracy 0.993270
epoch 2500, training accuracy 0.993270
epoch 2510, training accuracy 0.993225
epoch 2520, training accuracy 0.993210
epoch 2530, training accuracy 0.993210
epoch 2540, training accuracy 0.993225
epoch 2550, training accuracy 0.993255
epoch 2560, training accuracy 0.993270
epoch 2570, training accuracy 0.993255
epoch 2580, training accuracy 0.993210
epoch 2590, training accuracy 0.993195
epoch 2600, training accuracy 0.993195
epoch 2610, training accuracy 0.993240
epoch 2620, training accuracy 0.993255
epoch 2630, training accuracy 0.993255
epoch 2640, training accuracy 0.993255
epoch 2650, training accuracy 0.993195
epoch 2660, training accuracy 0.993195
epoch 2670, training accuracy 0.993195
epoch 2680, training accuracy 0.993255
epoch 2690, training accuracy 0.993255
epoch 2700, training accuracy 0.993255
epoch 2710, training accuracy 0.993255
epoch 2720, training accuracy 0.993195
epoch 2730, training accuracy 0.993195
epoch 2740, training accuracy 0.993195
epoch 2750, training accuracy 0.993255
epoch 2760, training accuracy 0.993255
epoch 2770, training accuracy 0.993255
epoch 2780, training accuracy 0.993255
epoch 2790, training accuracy 0.993195
epoch 2800, training accuracy 0.993195
epoch 2810, training accuracy 0.993195
epoch 2820, training accuracy 0.993240
epoch 2830, training accuracy 0.993270
epoch 2840, training accuracy 0.993255
epoch 2850, training accuracy 0.993210
epoch 2860, training accuracy 0.993195
epoch 2870, training accuracy 0.993195
epoch 2880, training accuracy 0.993210
epoch 2890, training accuracy 0.993240
epoch 2900, training accuracy 0.993255
epoch 2910, training accuracy 0.993255
epoch 2920, training accuracy 0.993181
epoch 2930, training accuracy 0.993195
epoch 2940, training accuracy 0.993195
epoch 2950, training accuracy 0.993195
epoch 2960, training accuracy 0.993255
epoch 2970, training accuracy 0.993255
epoch 2980, training accuracy 0.993255
epoch 2990, training accuracy 0.993195
epoch 3000, training accuracy 0.993181
/tmp/their_there_validate.py loaded, containing 16698 entries, class distribution: [8349 8349]
correct: [8232, 8239]
incorrect: [36, 37]
accuracy: [0.9956458635703919, 0.9955292411793136]
unclassified: [81, 73]
total accuracy: [0.9859863456701401, 0.9868247694334651]
Sat Oct 14 14:10:04 CEST 2017 finished, res_training/eng/their_there
