Sat Sep 23 12:32:38 CEST 2017 create_training_files
/tmp/deu_news_2015_3M-sentences-raw.txt_small
300000 lines
274 wann
5837 wenn
/tmp/wann_wenn
42536 lines
2598 wann
40024 wenn
/tmp/wann_wenn_training
34029 lines
2089 wann
32004 wenn
/tmp/wann_wenn_validate
8507 lines
509 wann
8020 wenn
generate /tmp/wann_wenn_training.py, /tmp/wann_wenn_validate.py
epoch 570, training accuracy 0.817209
epoch 580, training accuracy 0.818140
epoch 590, training accuracy 0.818372
epoch 600, training accuracy 0.819535
epoch 610, training accuracy 0.819767
epoch 620, training accuracy 0.820930
epoch 630, training accuracy 0.821628
epoch 640, training accuracy 0.822791
epoch 650, training accuracy 0.823488
epoch 660, training accuracy 0.823721
epoch 670, training accuracy 0.823954
epoch 680, training accuracy 0.823954
epoch 690, training accuracy 0.824419
epoch 700, training accuracy 0.825581
epoch 710, training accuracy 0.826047
epoch 720, training accuracy 0.826047
epoch 730, training accuracy 0.827907
epoch 740, training accuracy 0.828605
epoch 750, training accuracy 0.829302
epoch 760, training accuracy 0.830233
epoch 770, training accuracy 0.830233
epoch 780, training accuracy 0.830233
epoch 790, training accuracy 0.831163
epoch 800, training accuracy 0.830930
epoch 810, training accuracy 0.830930
epoch 820, training accuracy 0.831860
epoch 830, training accuracy 0.832791
epoch 840, training accuracy 0.833721
epoch 850, training accuracy 0.834651
epoch 860, training accuracy 0.835116
epoch 870, training accuracy 0.836047
epoch 880, training accuracy 0.836279
epoch 890, training accuracy 0.836279
epoch 900, training accuracy 0.836977
epoch 910, training accuracy 0.837442
epoch 920, training accuracy 0.837907
epoch 930, training accuracy 0.838372
epoch 940, training accuracy 0.837674
epoch 950, training accuracy 0.836977
epoch 960, training accuracy 0.837674
epoch 970, training accuracy 0.837442
epoch 980, training accuracy 0.837209
epoch 990, training accuracy 0.836977
epoch 1000, training accuracy 0.836279
epoch 1010, training accuracy 0.836744
epoch 1020, training accuracy 0.836977
epoch 1030, training accuracy 0.837209
epoch 1040, training accuracy 0.837209
epoch 1050, training accuracy 0.838605
epoch 1060, training accuracy 0.838372
epoch 1070, training accuracy 0.838140
epoch 1080, training accuracy 0.838140
epoch 1090, training accuracy 0.838372
epoch 1100, training accuracy 0.838372
epoch 1110, training accuracy 0.838837
epoch 1120, training accuracy 0.839302
epoch 1130, training accuracy 0.839302
epoch 1140, training accuracy 0.839535
epoch 1150, training accuracy 0.840233
epoch 1160, training accuracy 0.840698
epoch 1170, training accuracy 0.840233
epoch 1180, training accuracy 0.840233
epoch 1190, training accuracy 0.840698
epoch 1200, training accuracy 0.840930
epoch 1210, training accuracy 0.841628
epoch 1220, training accuracy 0.842558
epoch 1230, training accuracy 0.843023
epoch 1240, training accuracy 0.842791
epoch 1250, training accuracy 0.842558
epoch 1260, training accuracy 0.843023
epoch 1270, training accuracy 0.842791
epoch 1280, training accuracy 0.843023
epoch 1290, training accuracy 0.843488
epoch 1300, training accuracy 0.843256
epoch 1310, training accuracy 0.843953
epoch 1320, training accuracy 0.845349
epoch 1330, training accuracy 0.845349
epoch 1340, training accuracy 0.845349
epoch 1350, training accuracy 0.845581
epoch 1360, training accuracy 0.845814
epoch 1370, training accuracy 0.845349
epoch 1380, training accuracy 0.845581
epoch 1390, training accuracy 0.845814
epoch 1400, training accuracy 0.845814
epoch 1410, training accuracy 0.845814
epoch 1420, training accuracy 0.845581
epoch 1430, training accuracy 0.845349
epoch 1440, training accuracy 0.845349
epoch 1450, training accuracy 0.845349
epoch 1460, training accuracy 0.846047
epoch 1470, training accuracy 0.846047
epoch 1480, training accuracy 0.845814
epoch 1490, training accuracy 0.846047
epoch 1500, training accuracy 0.846047
epoch 1510, training accuracy 0.846744
epoch 1520, training accuracy 0.846977
epoch 1530, training accuracy 0.846977
epoch 1540, training accuracy 0.846744
epoch 1550, training accuracy 0.847209
epoch 1560, training accuracy 0.847442
epoch 1570, training accuracy 0.847674
epoch 1580, training accuracy 0.847442
epoch 1590, training accuracy 0.847442
epoch 1600, training accuracy 0.848140
epoch 1610, training accuracy 0.847907
epoch 1620, training accuracy 0.848140
epoch 1630, training accuracy 0.848605
epoch 1640, training accuracy 0.849070
epoch 1650, training accuracy 0.849070
epoch 1660, training accuracy 0.849302
epoch 1670, training accuracy 0.849302
epoch 1680, training accuracy 0.849302
epoch 1690, training accuracy 0.849302
epoch 1700, training accuracy 0.849070
epoch 1710, training accuracy 0.848837
epoch 1720, training accuracy 0.848837
epoch 1730, training accuracy 0.849302
epoch 1740, training accuracy 0.849302
epoch 1750, training accuracy 0.849535
epoch 1760, training accuracy 0.850000
epoch 1770, training accuracy 0.850000
epoch 1780, training accuracy 0.850000
epoch 1790, training accuracy 0.850465
epoch 1800, training accuracy 0.850465
epoch 1810, training accuracy 0.850465
epoch 1820, training accuracy 0.850465
epoch 1830, training accuracy 0.850930
epoch 1840, training accuracy 0.851163
epoch 1850, training accuracy 0.851163
epoch 1860, training accuracy 0.850930
epoch 1870, training accuracy 0.851395
epoch 1880, training accuracy 0.851395
epoch 1890, training accuracy 0.851395
epoch 1900, training accuracy 0.851163
epoch 1910, training accuracy 0.851163
epoch 1920, training accuracy 0.851628
epoch 1930, training accuracy 0.851628
epoch 1940, training accuracy 0.851628
epoch 1950, training accuracy 0.851395
epoch 1960, training accuracy 0.851163
epoch 1970, training accuracy 0.851163
epoch 1980, training accuracy 0.851163
epoch 1990, training accuracy 0.850930
epoch 2000, training accuracy 0.851163
epoch 2010, training accuracy 0.850930
epoch 2020, training accuracy 0.851395
epoch 2030, training accuracy 0.851395
epoch 2040, training accuracy 0.851395
epoch 2050, training accuracy 0.851628
epoch 2060, training accuracy 0.851628
epoch 2070, training accuracy 0.851628
epoch 2080, training accuracy 0.851163
epoch 2090, training accuracy 0.851163
epoch 2100, training accuracy 0.851860
epoch 2110, training accuracy 0.851628
epoch 2120, training accuracy 0.851628
epoch 2130, training accuracy 0.851628
epoch 2140, training accuracy 0.851628
epoch 2150, training accuracy 0.851395
epoch 2160, training accuracy 0.850930
epoch 2170, training accuracy 0.850930
epoch 2180, training accuracy 0.851628
epoch 2190, training accuracy 0.851628
epoch 2200, training accuracy 0.851628
epoch 2210, training accuracy 0.851395
epoch 2220, training accuracy 0.851163
epoch 2230, training accuracy 0.851395
epoch 2240, training accuracy 0.851860
epoch 2250, training accuracy 0.851860
epoch 2260, training accuracy 0.851860
epoch 2270, training accuracy 0.851860
epoch 2280, training accuracy 0.851860
epoch 2290, training accuracy 0.851860
epoch 2300, training accuracy 0.851860
epoch 2310, training accuracy 0.851860
epoch 2320, training accuracy 0.852093
epoch 2330, training accuracy 0.852093
epoch 2340, training accuracy 0.852093
epoch 2350, training accuracy 0.852093
epoch 2360, training accuracy 0.851860
epoch 2370, training accuracy 0.851860
epoch 2380, training accuracy 0.852326
epoch 2390, training accuracy 0.852326
epoch 2400, training accuracy 0.852558
epoch 2410, training accuracy 0.852791
epoch 2420, training accuracy 0.852558
epoch 2430, training accuracy 0.853023
epoch 2440, training accuracy 0.853023
epoch 2450, training accuracy 0.853256
epoch 2460, training accuracy 0.853256
epoch 2470, training accuracy 0.853256
epoch 2480, training accuracy 0.853256
epoch 2490, training accuracy 0.853023
epoch 2500, training accuracy 0.853256
epoch 2510, training accuracy 0.853256
epoch 2520, training accuracy 0.853256
epoch 2530, training accuracy 0.852791
epoch 2540, training accuracy 0.852791
epoch 2550, training accuracy 0.852791
epoch 2560, training accuracy 0.852791
epoch 2570, training accuracy 0.853023
epoch 2580, training accuracy 0.853256
epoch 2590, training accuracy 0.853256
epoch 2600, training accuracy 0.853256
epoch 2610, training accuracy 0.853256
epoch 2620, training accuracy 0.853256
epoch 2630, training accuracy 0.853256
epoch 2640, training accuracy 0.853256
epoch 2650, training accuracy 0.853256
epoch 2660, training accuracy 0.853488
epoch 2670, training accuracy 0.853488
epoch 2680, training accuracy 0.853488
epoch 2690, training accuracy 0.853256
epoch 2700, training accuracy 0.853256
epoch 2710, training accuracy 0.853256
epoch 2720, training accuracy 0.853256
epoch 2730, training accuracy 0.853256
epoch 2740, training accuracy 0.853488
epoch 2750, training accuracy 0.853953
epoch 2760, training accuracy 0.853953
epoch 2770, training accuracy 0.853953
epoch 2780, training accuracy 0.853953
epoch 2790, training accuracy 0.853953
epoch 2800, training accuracy 0.853953
epoch 2810, training accuracy 0.853953
epoch 2820, training accuracy 0.853953
epoch 2830, training accuracy 0.854186
epoch 2840, training accuracy 0.854186
epoch 2850, training accuracy 0.853953
epoch 2860, training accuracy 0.853953
epoch 2870, training accuracy 0.853721
epoch 2880, training accuracy 0.853721
epoch 2890, training accuracy 0.853953
epoch 2900, training accuracy 0.853953
epoch 2910, training accuracy 0.853953
epoch 2920, training accuracy 0.853953
epoch 2930, training accuracy 0.854186
epoch 2940, training accuracy 0.854186
epoch 2950, training accuracy 0.853953
epoch 2960, training accuracy 0.853721
epoch 2970, training accuracy 0.853953
epoch 2980, training accuracy 0.854186
epoch 2990, training accuracy 0.854419
epoch 3000, training accuracy 0.854419
/tmp/wann_wenn_validate.py loaded, containing 1028 entries, class distribution: [514 514]
correct: [349, 316]
incorrect: [43, 27]
accuracy: [0.8903061224489796, 0.9212827988338192]
unclassified: [122, 171]
total accuracy: [0.6789883268482491, 0.6147859922178989]
Sat Sep 23 12:34:09 CEST 2017 finished, res_training/deu/wann_wenn
