Mon Sep 25 21:06:23 CEST 2017 create_training_files
/tmp/deu_news_2015_3M-sentences-raw.txt_small
300000 lines
6650 wir
15156 wird
/tmp/wir_wird
79333 lines
40000 wir
40867 wird
/tmp/wir_wird_training
63467 lines
31938 wir
32761 wird
/tmp/wir_wird_validate
15866 lines
8062 wir
8106 wird
generate /tmp/wir_wird_training.py, /tmp/wir_wird_validate.py
epoch 330, training accuracy 0.964648
epoch 340, training accuracy 0.964693
epoch 350, training accuracy 0.964737
epoch 360, training accuracy 0.964752
epoch 370, training accuracy 0.964737
epoch 380, training accuracy 0.964841
epoch 390, training accuracy 0.964870
epoch 400, training accuracy 0.964900
epoch 410, training accuracy 0.964944
epoch 420, training accuracy 0.965033
epoch 430, training accuracy 0.965033
epoch 440, training accuracy 0.965077
epoch 450, training accuracy 0.965077
epoch 460, training accuracy 0.965137
epoch 470, training accuracy 0.965122
epoch 480, training accuracy 0.965151
epoch 490, training accuracy 0.965225
epoch 500, training accuracy 0.965077
epoch 510, training accuracy 0.965107
epoch 520, training accuracy 0.965092
epoch 530, training accuracy 0.965166
epoch 540, training accuracy 0.965166
epoch 550, training accuracy 0.965240
epoch 560, training accuracy 0.965255
epoch 570, training accuracy 0.965211
epoch 580, training accuracy 0.965299
epoch 590, training accuracy 0.965285
epoch 600, training accuracy 0.965299
epoch 610, training accuracy 0.965285
epoch 620, training accuracy 0.965285
epoch 630, training accuracy 0.965299
epoch 640, training accuracy 0.965329
epoch 650, training accuracy 0.965344
epoch 660, training accuracy 0.965299
epoch 670, training accuracy 0.965329
epoch 680, training accuracy 0.965403
epoch 690, training accuracy 0.965314
epoch 700, training accuracy 0.965299
epoch 710, training accuracy 0.965359
epoch 720, training accuracy 0.965255
epoch 730, training accuracy 0.965255
epoch 740, training accuracy 0.965255
epoch 750, training accuracy 0.965255
epoch 760, training accuracy 0.965211
epoch 770, training accuracy 0.965240
epoch 780, training accuracy 0.965344
epoch 790, training accuracy 0.965388
epoch 800, training accuracy 0.965240
epoch 810, training accuracy 0.965299
epoch 820, training accuracy 0.965285
epoch 830, training accuracy 0.965285
epoch 840, training accuracy 0.965240
epoch 850, training accuracy 0.965329
epoch 860, training accuracy 0.965285
epoch 870, training accuracy 0.965285
epoch 880, training accuracy 0.965314
epoch 890, training accuracy 0.965314
epoch 900, training accuracy 0.965299
epoch 910, training accuracy 0.965359
epoch 920, training accuracy 0.965359
epoch 930, training accuracy 0.965299
epoch 940, training accuracy 0.965255
epoch 950, training accuracy 0.965403
epoch 960, training accuracy 0.965299
epoch 970, training accuracy 0.965388
epoch 980, training accuracy 0.965388
epoch 990, training accuracy 0.965403
epoch 1000, training accuracy 0.965388
epoch 1010, training accuracy 0.965418
epoch 1020, training accuracy 0.965418
epoch 1030, training accuracy 0.965477
epoch 1040, training accuracy 0.965492
epoch 1050, training accuracy 0.965492
epoch 1060, training accuracy 0.965492
epoch 1070, training accuracy 0.965581
epoch 1080, training accuracy 0.965566
epoch 1090, training accuracy 0.965492
epoch 1100, training accuracy 0.965492
epoch 1110, training accuracy 0.965507
epoch 1120, training accuracy 0.965521
epoch 1130, training accuracy 0.965551
epoch 1140, training accuracy 0.965551
epoch 1150, training accuracy 0.965536
epoch 1160, training accuracy 0.965551
epoch 1170, training accuracy 0.965507
epoch 1180, training accuracy 0.965536
epoch 1190, training accuracy 0.965566
epoch 1200, training accuracy 0.965566
epoch 1210, training accuracy 0.965566
epoch 1220, training accuracy 0.965581
epoch 1230, training accuracy 0.965551
epoch 1240, training accuracy 0.965462
epoch 1250, training accuracy 0.965551
epoch 1260, training accuracy 0.965640
epoch 1270, training accuracy 0.965536
epoch 1280, training accuracy 0.965507
epoch 1290, training accuracy 0.965581
epoch 1300, training accuracy 0.965507
epoch 1310, training accuracy 0.965521
epoch 1320, training accuracy 0.965581
epoch 1330, training accuracy 0.965581
epoch 1340, training accuracy 0.965521
epoch 1350, training accuracy 0.965536
epoch 1360, training accuracy 0.965581
epoch 1370, training accuracy 0.965536
epoch 1380, training accuracy 0.965551
epoch 1390, training accuracy 0.965581
epoch 1400, training accuracy 0.965566
epoch 1410, training accuracy 0.965536
epoch 1420, training accuracy 0.965566
epoch 1430, training accuracy 0.965566
epoch 1440, training accuracy 0.965566
epoch 1450, training accuracy 0.965566
epoch 1460, training accuracy 0.965566
epoch 1470, training accuracy 0.965536
epoch 1480, training accuracy 0.965536
epoch 1490, training accuracy 0.965521
epoch 1500, training accuracy 0.965551
epoch 1510, training accuracy 0.965581
epoch 1520, training accuracy 0.965581
epoch 1530, training accuracy 0.965581
epoch 1540, training accuracy 0.965581
epoch 1550, training accuracy 0.965566
epoch 1560, training accuracy 0.965566
epoch 1570, training accuracy 0.965551
epoch 1580, training accuracy 0.965610
epoch 1590, training accuracy 0.965595
epoch 1600, training accuracy 0.965566
epoch 1610, training accuracy 0.965610
epoch 1620, training accuracy 0.965581
epoch 1630, training accuracy 0.965551
epoch 1640, training accuracy 0.965551
epoch 1650, training accuracy 0.965566
epoch 1660, training accuracy 0.965595
epoch 1670, training accuracy 0.965566
epoch 1680, training accuracy 0.965581
epoch 1690, training accuracy 0.965581
epoch 1700, training accuracy 0.965581
epoch 1710, training accuracy 0.965566
epoch 1720, training accuracy 0.965581
epoch 1730, training accuracy 0.965625
epoch 1740, training accuracy 0.965610
epoch 1750, training accuracy 0.965610
epoch 1760, training accuracy 0.965566
epoch 1770, training accuracy 0.965581
epoch 1780, training accuracy 0.965595
epoch 1790, training accuracy 0.965625
epoch 1800, training accuracy 0.965610
epoch 1810, training accuracy 0.965595
epoch 1820, training accuracy 0.965595
epoch 1830, training accuracy 0.965595
epoch 1840, training accuracy 0.965625
epoch 1850, training accuracy 0.965581
epoch 1860, training accuracy 0.965669
epoch 1870, training accuracy 0.965610
epoch 1880, training accuracy 0.965625
epoch 1890, training accuracy 0.965610
epoch 1900, training accuracy 0.965581
epoch 1910, training accuracy 0.965640
epoch 1920, training accuracy 0.965566
epoch 1930, training accuracy 0.965640
epoch 1940, training accuracy 0.965625
epoch 1950, training accuracy 0.965654
epoch 1960, training accuracy 0.965640
epoch 1970, training accuracy 0.965581
epoch 1980, training accuracy 0.965595
epoch 1990, training accuracy 0.965610
epoch 2000, training accuracy 0.965625
epoch 2010, training accuracy 0.965610
epoch 2020, training accuracy 0.965654
epoch 2030, training accuracy 0.965581
epoch 2040, training accuracy 0.965581
epoch 2050, training accuracy 0.965625
epoch 2060, training accuracy 0.965610
epoch 2070, training accuracy 0.965595
epoch 2080, training accuracy 0.965610
epoch 2090, training accuracy 0.965595
epoch 2100, training accuracy 0.965581
epoch 2110, training accuracy 0.965595
epoch 2120, training accuracy 0.965581
epoch 2130, training accuracy 0.965610
epoch 2140, training accuracy 0.965595
epoch 2150, training accuracy 0.965595
epoch 2160, training accuracy 0.965566
epoch 2170, training accuracy 0.965581
epoch 2180, training accuracy 0.965566
epoch 2190, training accuracy 0.965640
epoch 2200, training accuracy 0.965581
epoch 2210, training accuracy 0.965581
epoch 2220, training accuracy 0.965610
epoch 2230, training accuracy 0.965610
epoch 2240, training accuracy 0.965581
epoch 2250, training accuracy 0.965595
epoch 2260, training accuracy 0.965625
epoch 2270, training accuracy 0.965566
epoch 2280, training accuracy 0.965595
epoch 2290, training accuracy 0.965566
epoch 2300, training accuracy 0.965610
epoch 2310, training accuracy 0.965595
epoch 2320, training accuracy 0.965625
epoch 2330, training accuracy 0.965610
epoch 2340, training accuracy 0.965581
epoch 2350, training accuracy 0.965595
epoch 2360, training accuracy 0.965581
epoch 2370, training accuracy 0.965581
epoch 2380, training accuracy 0.965566
epoch 2390, training accuracy 0.965610
epoch 2400, training accuracy 0.965625
epoch 2410, training accuracy 0.965581
epoch 2420, training accuracy 0.965581
epoch 2430, training accuracy 0.965581
epoch 2440, training accuracy 0.965595
epoch 2450, training accuracy 0.965566
epoch 2460, training accuracy 0.965566
epoch 2470, training accuracy 0.965625
epoch 2480, training accuracy 0.965595
epoch 2490, training accuracy 0.965610
epoch 2500, training accuracy 0.965581
epoch 2510, training accuracy 0.965610
epoch 2520, training accuracy 0.965595
epoch 2530, training accuracy 0.965566
epoch 2540, training accuracy 0.965610
epoch 2550, training accuracy 0.965581
epoch 2560, training accuracy 0.965625
epoch 2570, training accuracy 0.965581
epoch 2580, training accuracy 0.965566
epoch 2590, training accuracy 0.965625
epoch 2600, training accuracy 0.965566
epoch 2610, training accuracy 0.965610
epoch 2620, training accuracy 0.965566
epoch 2630, training accuracy 0.965595
epoch 2640, training accuracy 0.965610
epoch 2650, training accuracy 0.965566
epoch 2660, training accuracy 0.965581
epoch 2670, training accuracy 0.965581
epoch 2680, training accuracy 0.965595
epoch 2690, training accuracy 0.965581
epoch 2700, training accuracy 0.965610
epoch 2710, training accuracy 0.965610
epoch 2720, training accuracy 0.965595
epoch 2730, training accuracy 0.965566
epoch 2740, training accuracy 0.965595
epoch 2750, training accuracy 0.965610
epoch 2760, training accuracy 0.965610
epoch 2770, training accuracy 0.965625
epoch 2780, training accuracy 0.965640
epoch 2790, training accuracy 0.965595
epoch 2800, training accuracy 0.965551
epoch 2810, training accuracy 0.965654
epoch 2820, training accuracy 0.965610
epoch 2830, training accuracy 0.965625
epoch 2840, training accuracy 0.965595
epoch 2850, training accuracy 0.965595
epoch 2860, training accuracy 0.965610
epoch 2870, training accuracy 0.965566
epoch 2880, training accuracy 0.965625
epoch 2890, training accuracy 0.965581
epoch 2900, training accuracy 0.965640
epoch 2910, training accuracy 0.965625
epoch 2920, training accuracy 0.965610
epoch 2930, training accuracy 0.965610
epoch 2940, training accuracy 0.965581
epoch 2950, training accuracy 0.965625
epoch 2960, training accuracy 0.965595
epoch 2970, training accuracy 0.965640
epoch 2980, training accuracy 0.965610
epoch 2990, training accuracy 0.965610
epoch 3000, training accuracy 0.965595
/tmp/wir_wird_validate.py loaded, containing 16730 entries, class distribution: [8365 8365]
correct: [7766, 7761]
incorrect: [226, 120]
accuracy: [0.9717217217217218, 0.9847735059002665]
unclassified: [373, 484]
total accuracy: [0.9283921099820681, 0.9277943813508667]
Mon Sep 25 21:21:48 CEST 2017 finished, res_training/deu/wir_wird
