Sun Oct 8 17:02:27 CEST 2017 create_training_files
/tmp/eng_news_2015_3M-sentences-raw.txt_small
300000 lines
864 hour
6332 our
/tmp/hour_our
31103 lines
3680 hour
27468 our
/tmp/hour_our_training
24883 lines
2919 hour
22000 our
/tmp/hour_our_validate
6220 lines
761 hour
5468 our
generate /tmp/hour_our_training.py, /tmp/hour_our_validate.py
epoch 2630, training accuracy 0.996586
epoch 2640, training accuracy 0.996586
epoch 2650, training accuracy 0.996586
epoch 2660, training accuracy 0.996586
epoch 2670, training accuracy 0.996586
epoch 2680, training accuracy 0.996586
epoch 2690, training accuracy 0.996814
epoch 2700, training accuracy 0.996814
epoch 2710, training accuracy 0.997041
epoch 2720, training accuracy 0.997041
epoch 2730, training accuracy 0.997041
epoch 2740, training accuracy 0.997041
epoch 2750, training accuracy 0.997041
epoch 2760, training accuracy 0.997041
epoch 2770, training accuracy 0.997041
epoch 2780, training accuracy 0.997041
epoch 2790, training accuracy 0.997269
epoch 2800, training accuracy 0.997269
epoch 2810, training accuracy 0.997269
epoch 2820, training accuracy 0.997269
epoch 2830, training accuracy 0.997269
epoch 2840, training accuracy 0.997269
epoch 2850, training accuracy 0.997269
epoch 2860, training accuracy 0.997269
epoch 2870, training accuracy 0.997269
epoch 2880, training accuracy 0.997269
epoch 2890, training accuracy 0.997269
epoch 2900, training accuracy 0.997269
epoch 2910, training accuracy 0.997497
epoch 2920, training accuracy 0.997497
epoch 2930, training accuracy 0.997497
epoch 2940, training accuracy 0.997497
epoch 2950, training accuracy 0.997497
epoch 2960, training accuracy 0.997497
epoch 2970, training accuracy 0.997497
epoch 2980, training accuracy 0.997497
epoch 2990, training accuracy 0.997497
epoch 3000, training accuracy 0.997497
/tmp/hour_our_validate.py loaded, containing 1096 entries, class distribution: [548 548]
correct: [541, 539]
incorrect: [1, 2]
accuracy: [0.9981549815498155, 0.9963031423290203]
unclassified: [6, 7]
total accuracy: [0.9872262773722628, 0.9835766423357665]
Sun Oct 8 17:03:44 CEST 2017 finished, res_training/eng/hour_our
