Fri Oct 13 21:12:23 CEST 2017 create_training_files
/tmp/eng_news_2015_3M-sentences-raw.txt_small
300000 lines
3962 know
5950 now
/tmp/know_now
42781 lines
17224 know
26112 now
/tmp/know_now_training
34225 lines
13771 know
20910 now
/tmp/know_now_validate
8556 lines
3453 know
5202 now
generate /tmp/know_now_training.py, /tmp/know_now_validate.py
epoch 480, training accuracy 0.975196
epoch 490, training accuracy 0.975231
epoch 500, training accuracy 0.975231
epoch 510, training accuracy 0.975231
epoch 520, training accuracy 0.975266
epoch 530, training accuracy 0.975337
epoch 540, training accuracy 0.975443
epoch 550, training accuracy 0.975619
epoch 560, training accuracy 0.975513
epoch 570, training accuracy 0.975654
epoch 580, training accuracy 0.975619
epoch 590, training accuracy 0.975619
epoch 600, training accuracy 0.975549
epoch 610, training accuracy 0.975619
epoch 620, training accuracy 0.975725
epoch 630, training accuracy 0.975760
epoch 640, training accuracy 0.975901
epoch 650, training accuracy 0.975866
epoch 660, training accuracy 0.975972
epoch 670, training accuracy 0.976007
epoch 680, training accuracy 0.976043
epoch 690, training accuracy 0.976078
epoch 700, training accuracy 0.976219
epoch 710, training accuracy 0.976219
epoch 720, training accuracy 0.976254
epoch 730, training accuracy 0.976325
epoch 740, training accuracy 0.976395
epoch 750, training accuracy 0.976466
epoch 760, training accuracy 0.976501
epoch 770, training accuracy 0.976642
epoch 780, training accuracy 0.976713
epoch 790, training accuracy 0.976678
epoch 800, training accuracy 0.976713
epoch 810, training accuracy 0.976678
epoch 820, training accuracy 0.976748
epoch 830, training accuracy 0.976748
epoch 840, training accuracy 0.976748
epoch 850, training accuracy 0.976819
epoch 860, training accuracy 0.976889
epoch 870, training accuracy 0.976925
epoch 880, training accuracy 0.976995
epoch 890, training accuracy 0.976960
epoch 900, training accuracy 0.976995
epoch 910, training accuracy 0.976960
epoch 920, training accuracy 0.977031
epoch 930, training accuracy 0.977066
epoch 940, training accuracy 0.976995
epoch 950, training accuracy 0.977031
epoch 960, training accuracy 0.977066
epoch 970, training accuracy 0.977136
epoch 980, training accuracy 0.977136
epoch 990, training accuracy 0.977101
epoch 1000, training accuracy 0.977242
epoch 1010, training accuracy 0.977172
epoch 1020, training accuracy 0.977172
epoch 1030, training accuracy 0.977207
epoch 1040, training accuracy 0.977207
epoch 1050, training accuracy 0.977207
epoch 1060, training accuracy 0.977278
epoch 1070, training accuracy 0.977313
epoch 1080, training accuracy 0.977313
epoch 1090, training accuracy 0.977313
epoch 1100, training accuracy 0.977313
epoch 1110, training accuracy 0.977313
epoch 1120, training accuracy 0.977313
epoch 1130, training accuracy 0.977313
epoch 1140, training accuracy 0.977383
epoch 1150, training accuracy 0.977383
epoch 1160, training accuracy 0.977489
epoch 1170, training accuracy 0.977383
epoch 1180, training accuracy 0.977454
epoch 1190, training accuracy 0.977454
epoch 1200, training accuracy 0.977489
epoch 1210, training accuracy 0.977560
epoch 1220, training accuracy 0.977525
epoch 1230, training accuracy 0.977595
epoch 1240, training accuracy 0.977560
epoch 1250, training accuracy 0.977560
epoch 1260, training accuracy 0.977489
epoch 1270, training accuracy 0.977560
epoch 1280, training accuracy 0.977525
epoch 1290, training accuracy 0.977489
epoch 1300, training accuracy 0.977525
epoch 1310, training accuracy 0.977525
epoch 1320, training accuracy 0.977525
epoch 1330, training accuracy 0.977525
epoch 1340, training accuracy 0.977489
epoch 1350, training accuracy 0.977489
epoch 1360, training accuracy 0.977489
epoch 1370, training accuracy 0.977454
epoch 1380, training accuracy 0.977489
epoch 1390, training accuracy 0.977560
epoch 1400, training accuracy 0.977525
epoch 1410, training accuracy 0.977525
epoch 1420, training accuracy 0.977560
epoch 1430, training accuracy 0.977595
epoch 1440, training accuracy 0.977595
epoch 1450, training accuracy 0.977595
epoch 1460, training accuracy 0.977630
epoch 1470, training accuracy 0.977630
epoch 1480, training accuracy 0.977595
epoch 1490, training accuracy 0.977595
epoch 1500, training accuracy 0.977595
epoch 1510, training accuracy 0.977595
epoch 1520, training accuracy 0.977595
epoch 1530, training accuracy 0.977595
epoch 1540, training accuracy 0.977595
epoch 1550, training accuracy 0.977595
epoch 1560, training accuracy 0.977595
epoch 1570, training accuracy 0.977595
epoch 1580, training accuracy 0.977595
epoch 1590, training accuracy 0.977630
epoch 1600, training accuracy 0.977666
epoch 1610, training accuracy 0.977666
epoch 1620, training accuracy 0.977666
epoch 1630, training accuracy 0.977630
epoch 1640, training accuracy 0.977666
epoch 1650, training accuracy 0.977666
epoch 1660, training accuracy 0.977666
epoch 1670, training accuracy 0.977666
epoch 1680, training accuracy 0.977666
epoch 1690, training accuracy 0.977666
epoch 1700, training accuracy 0.977666
epoch 1710, training accuracy 0.977701
epoch 1720, training accuracy 0.977666
epoch 1730, training accuracy 0.977666
epoch 1740, training accuracy 0.977666
epoch 1750, training accuracy 0.977666
epoch 1760, training accuracy 0.977666
epoch 1770, training accuracy 0.977701
epoch 1780, training accuracy 0.977666
epoch 1790, training accuracy 0.977701
epoch 1800, training accuracy 0.977701
epoch 1810, training accuracy 0.977772
epoch 1820, training accuracy 0.977772
epoch 1830, training accuracy 0.977736
epoch 1840, training accuracy 0.977807
epoch 1850, training accuracy 0.977772
epoch 1860, training accuracy 0.977772
epoch 1870, training accuracy 0.977842
epoch 1880, training accuracy 0.977807
epoch 1890, training accuracy 0.977842
epoch 1900, training accuracy 0.977807
epoch 1910, training accuracy 0.977842
epoch 1920, training accuracy 0.977842
epoch 1930, training accuracy 0.977842
epoch 1940, training accuracy 0.977807
epoch 1950, training accuracy 0.977842
epoch 1960, training accuracy 0.977877
epoch 1970, training accuracy 0.977842
epoch 1980, training accuracy 0.977877
epoch 1990, training accuracy 0.977913
epoch 2000, training accuracy 0.977842
epoch 2010, training accuracy 0.977877
epoch 2020, training accuracy 0.977807
epoch 2030, training accuracy 0.977807
epoch 2040, training accuracy 0.977772
epoch 2050, training accuracy 0.977772
epoch 2060, training accuracy 0.977736
epoch 2070, training accuracy 0.977772
epoch 2080, training accuracy 0.977736
epoch 2090, training accuracy 0.977772
epoch 2100, training accuracy 0.977772
epoch 2110, training accuracy 0.977772
epoch 2120, training accuracy 0.977877
epoch 2130, training accuracy 0.977772
epoch 2140, training accuracy 0.977877
epoch 2150, training accuracy 0.977877
epoch 2160, training accuracy 0.977807
epoch 2170, training accuracy 0.977877
epoch 2180, training accuracy 0.977877
epoch 2190, training accuracy 0.977842
epoch 2200, training accuracy 0.977877
epoch 2210, training accuracy 0.977877
epoch 2220, training accuracy 0.977877
epoch 2230, training accuracy 0.977913
epoch 2240, training accuracy 0.977877
epoch 2250, training accuracy 0.977877
epoch 2260, training accuracy 0.977913
epoch 2270, training accuracy 0.977877
epoch 2280, training accuracy 0.977948
epoch 2290, training accuracy 0.977913
epoch 2300, training accuracy 0.977948
epoch 2310, training accuracy 0.977983
epoch 2320, training accuracy 0.977913
epoch 2330, training accuracy 0.977983
epoch 2340, training accuracy 0.977983
epoch 2350, training accuracy 0.977913
epoch 2360, training accuracy 0.977983
epoch 2370, training accuracy 0.977983
epoch 2380, training accuracy 0.977948
epoch 2390, training accuracy 0.977983
epoch 2400, training accuracy 0.977983
epoch 2410, training accuracy 0.977948
epoch 2420, training accuracy 0.977983
epoch 2430, training accuracy 0.977983
epoch 2440, training accuracy 0.977983
epoch 2450, training accuracy 0.977983
epoch 2460, training accuracy 0.977983
epoch 2470, training accuracy 0.977983
epoch 2480, training accuracy 0.977983
epoch 2490, training accuracy 0.977983
epoch 2500, training accuracy 0.977983
epoch 2510, training accuracy 0.977983
epoch 2520, training accuracy 0.977983
epoch 2530, training accuracy 0.977983
epoch 2540, training accuracy 0.977983
epoch 2550, training accuracy 0.978018
epoch 2560, training accuracy 0.978018
epoch 2570, training accuracy 0.978018
epoch 2580, training accuracy 0.978018
epoch 2590, training accuracy 0.978018
epoch 2600, training accuracy 0.978018
epoch 2610, training accuracy 0.978018
epoch 2620, training accuracy 0.978018
epoch 2630, training accuracy 0.978018
epoch 2640, training accuracy 0.978018
epoch 2650, training accuracy 0.978018
epoch 2660, training accuracy 0.978018
epoch 2670, training accuracy 0.978018
epoch 2680, training accuracy 0.978018
epoch 2690, training accuracy 0.978018
epoch 2700, training accuracy 0.977983
epoch 2710, training accuracy 0.977948
epoch 2720, training accuracy 0.977983
epoch 2730, training accuracy 0.977983
epoch 2740, training accuracy 0.977948
epoch 2750, training accuracy 0.977983
epoch 2760, training accuracy 0.977983
epoch 2770, training accuracy 0.977983
epoch 2780, training accuracy 0.977948
epoch 2790, training accuracy 0.977948
epoch 2800, training accuracy 0.977948
epoch 2810, training accuracy 0.977948
epoch 2820, training accuracy 0.977948
epoch 2830, training accuracy 0.977948
epoch 2840, training accuracy 0.977948
epoch 2850, training accuracy 0.977948
epoch 2860, training accuracy 0.977948
epoch 2870, training accuracy 0.977948
epoch 2880, training accuracy 0.977948
epoch 2890, training accuracy 0.977948
epoch 2900, training accuracy 0.977948
epoch 2910, training accuracy 0.977948
epoch 2920, training accuracy 0.977948
epoch 2930, training accuracy 0.977948
epoch 2940, training accuracy 0.977948
epoch 2950, training accuracy 0.977948
epoch 2960, training accuracy 0.977877
epoch 2970, training accuracy 0.977948
epoch 2980, training accuracy 0.977948
epoch 2990, training accuracy 0.977877
epoch 3000, training accuracy 0.977948
/tmp/know_now_validate.py loaded, containing 7092 entries, class distribution: [3546 3546]
correct: [3376, 3372]
incorrect: [68, 40]
accuracy: [0.9802555168408827, 0.9882766705744431]
unclassified: [102, 134]
total accuracy: [0.952058657642414, 0.9509306260575296]
Fri Oct 13 21:18:00 CEST 2017 finished, res_training/eng/know_now
