Sun Sep 24 13:21:50 CEST 2017 create_training_files
/tmp/deu_news_2015_3M-sentences-raw.txt_small
300000 lines
172 dich
3420 doch
/tmp/dich_doch
32683 lines
1617 dich
31106 doch
/tmp/dich_doch_training
26147 lines
1315 dich
24866 doch
/tmp/dich_doch_validate
6536 lines
302 dich
6240 doch
generate /tmp/dich_doch_training.py, /tmp/dich_doch_validate.py
epoch 340, training accuracy 0.782468
epoch 350, training accuracy 0.786075
epoch 360, training accuracy 0.788600
epoch 370, training accuracy 0.792208
epoch 380, training accuracy 0.794012
epoch 390, training accuracy 0.795815
epoch 400, training accuracy 0.798341
epoch 410, training accuracy 0.800505
epoch 420, training accuracy 0.801587
epoch 430, training accuracy 0.803030
epoch 440, training accuracy 0.805556
epoch 450, training accuracy 0.809524
epoch 460, training accuracy 0.812049
epoch 470, training accuracy 0.814214
epoch 480, training accuracy 0.818543
epoch 490, training accuracy 0.821068
epoch 500, training accuracy 0.821068
epoch 510, training accuracy 0.823232
epoch 520, training accuracy 0.824315
epoch 530, training accuracy 0.826840
epoch 540, training accuracy 0.827561
epoch 550, training accuracy 0.828283
epoch 560, training accuracy 0.829365
epoch 570, training accuracy 0.831530
epoch 580, training accuracy 0.832251
epoch 590, training accuracy 0.831530
epoch 600, training accuracy 0.832973
epoch 610, training accuracy 0.834416
epoch 620, training accuracy 0.835137
epoch 630, training accuracy 0.836219
epoch 640, training accuracy 0.837302
epoch 650, training accuracy 0.837662
epoch 660, training accuracy 0.838384
epoch 670, training accuracy 0.839466
epoch 680, training accuracy 0.840188
epoch 690, training accuracy 0.840188
epoch 700, training accuracy 0.841270
epoch 710, training accuracy 0.842352
epoch 720, training accuracy 0.842352
epoch 730, training accuracy 0.842713
epoch 740, training accuracy 0.844156
epoch 750, training accuracy 0.844877
epoch 760, training accuracy 0.845238
epoch 770, training accuracy 0.845960
epoch 780, training accuracy 0.846320
epoch 790, training accuracy 0.845960
epoch 800, training accuracy 0.846681
epoch 810, training accuracy 0.848124
epoch 820, training accuracy 0.848485
epoch 830, training accuracy 0.848846
epoch 840, training accuracy 0.849567
epoch 850, training accuracy 0.849928
epoch 860, training accuracy 0.849928
epoch 870, training accuracy 0.849928
epoch 880, training accuracy 0.850289
epoch 890, training accuracy 0.851010
epoch 900, training accuracy 0.851732
epoch 910, training accuracy 0.852814
epoch 920, training accuracy 0.853896
epoch 930, training accuracy 0.854618
epoch 940, training accuracy 0.854618
epoch 950, training accuracy 0.854978
epoch 960, training accuracy 0.855700
epoch 970, training accuracy 0.856782
epoch 980, training accuracy 0.857504
epoch 990, training accuracy 0.858586
epoch 1000, training accuracy 0.858586
epoch 1010, training accuracy 0.857864
epoch 1020, training accuracy 0.857864
epoch 1030, training accuracy 0.858947
epoch 1040, training accuracy 0.858225
epoch 1050, training accuracy 0.858947
epoch 1060, training accuracy 0.859307
epoch 1070, training accuracy 0.859668
epoch 1080, training accuracy 0.861833
epoch 1090, training accuracy 0.862554
epoch 1100, training accuracy 0.863636
epoch 1110, training accuracy 0.864358
epoch 1120, training accuracy 0.865079
epoch 1130, training accuracy 0.865801
epoch 1140, training accuracy 0.866162
epoch 1150, training accuracy 0.866162
epoch 1160, training accuracy 0.866522
epoch 1170, training accuracy 0.867244
epoch 1180, training accuracy 0.867605
epoch 1190, training accuracy 0.868687
epoch 1200, training accuracy 0.868326
epoch 1210, training accuracy 0.868326
epoch 1220, training accuracy 0.868687
epoch 1230, training accuracy 0.869048
epoch 1240, training accuracy 0.869408
epoch 1250, training accuracy 0.869769
epoch 1260, training accuracy 0.869769
epoch 1270, training accuracy 0.870130
epoch 1280, training accuracy 0.869769
epoch 1290, training accuracy 0.869769
epoch 1300, training accuracy 0.869769
epoch 1310, training accuracy 0.870491
epoch 1320, training accuracy 0.871212
epoch 1330, training accuracy 0.872294
epoch 1340, training accuracy 0.873016
epoch 1350, training accuracy 0.873737
epoch 1360, training accuracy 0.874820
epoch 1370, training accuracy 0.874820
epoch 1380, training accuracy 0.875902
epoch 1390, training accuracy 0.876623
epoch 1400, training accuracy 0.878427
epoch 1410, training accuracy 0.878427
epoch 1420, training accuracy 0.878788
epoch 1430, training accuracy 0.879149
epoch 1440, training accuracy 0.879149
epoch 1450, training accuracy 0.879149
epoch 1460, training accuracy 0.879149
epoch 1470, training accuracy 0.879509
epoch 1480, training accuracy 0.880231
epoch 1490, training accuracy 0.880592
epoch 1500, training accuracy 0.880592
epoch 1510, training accuracy 0.880231
epoch 1520, training accuracy 0.880231
epoch 1530, training accuracy 0.880592
epoch 1540, training accuracy 0.880952
epoch 1550, training accuracy 0.881313
epoch 1560, training accuracy 0.881313
epoch 1570, training accuracy 0.882756
epoch 1580, training accuracy 0.883117
epoch 1590, training accuracy 0.883838
epoch 1600, training accuracy 0.884560
epoch 1610, training accuracy 0.884560
epoch 1620, training accuracy 0.884560
epoch 1630, training accuracy 0.884921
epoch 1640, training accuracy 0.884199
epoch 1650, training accuracy 0.884560
epoch 1660, training accuracy 0.884560
epoch 1670, training accuracy 0.885281
epoch 1680, training accuracy 0.885642
epoch 1690, training accuracy 0.886003
epoch 1700, training accuracy 0.886364
epoch 1710, training accuracy 0.887085
epoch 1720, training accuracy 0.886724
epoch 1730, training accuracy 0.887446
epoch 1740, training accuracy 0.887807
epoch 1750, training accuracy 0.887807
epoch 1760, training accuracy 0.887807
epoch 1770, training accuracy 0.887807
epoch 1780, training accuracy 0.887807
epoch 1790, training accuracy 0.888167
epoch 1800, training accuracy 0.888167
epoch 1810, training accuracy 0.889250
epoch 1820, training accuracy 0.889250
epoch 1830, training accuracy 0.889250
epoch 1840, training accuracy 0.889250
epoch 1850, training accuracy 0.889250
epoch 1860, training accuracy 0.889610
epoch 1870, training accuracy 0.890332
epoch 1880, training accuracy 0.890332
epoch 1890, training accuracy 0.891053
epoch 1900, training accuracy 0.891775
epoch 1910, training accuracy 0.892136
epoch 1920, training accuracy 0.892136
epoch 1930, training accuracy 0.892136
epoch 1940, training accuracy 0.892136
epoch 1950, training accuracy 0.892496
epoch 1960, training accuracy 0.892496
epoch 1970, training accuracy 0.892857
epoch 1980, training accuracy 0.893218
epoch 1990, training accuracy 0.893218
epoch 2000, training accuracy 0.892857
epoch 2010, training accuracy 0.892857
epoch 2020, training accuracy 0.893218
epoch 2030, training accuracy 0.893218
epoch 2040, training accuracy 0.893939
epoch 2050, training accuracy 0.894300
epoch 2060, training accuracy 0.894300
epoch 2070, training accuracy 0.895022
epoch 2080, training accuracy 0.895022
epoch 2090, training accuracy 0.895022
epoch 2100, training accuracy 0.894661
epoch 2110, training accuracy 0.894661
epoch 2120, training accuracy 0.895022
epoch 2130, training accuracy 0.895382
epoch 2140, training accuracy 0.895382
epoch 2150, training accuracy 0.895022
epoch 2160, training accuracy 0.895743
epoch 2170, training accuracy 0.895743
epoch 2180, training accuracy 0.896104
epoch 2190, training accuracy 0.896825
epoch 2200, training accuracy 0.896825
epoch 2210, training accuracy 0.896825
epoch 2220, training accuracy 0.897186
epoch 2230, training accuracy 0.897547
epoch 2240, training accuracy 0.897547
epoch 2250, training accuracy 0.897547
epoch 2260, training accuracy 0.897908
epoch 2270, training accuracy 0.898990
epoch 2280, training accuracy 0.898629
epoch 2290, training accuracy 0.898990
epoch 2300, training accuracy 0.898990
epoch 2310, training accuracy 0.898990
epoch 2320, training accuracy 0.899351
epoch 2330, training accuracy 0.899711
epoch 2340, training accuracy 0.900072
epoch 2350, training accuracy 0.900072
epoch 2360, training accuracy 0.900072
epoch 2370, training accuracy 0.900433
epoch 2380, training accuracy 0.900072
epoch 2390, training accuracy 0.900433
epoch 2400, training accuracy 0.900794
epoch 2410, training accuracy 0.900794
epoch 2420, training accuracy 0.901876
epoch 2430, training accuracy 0.901876
epoch 2440, training accuracy 0.901876
epoch 2450, training accuracy 0.902597
epoch 2460, training accuracy 0.902597
epoch 2470, training accuracy 0.902597
epoch 2480, training accuracy 0.902597
epoch 2490, training accuracy 0.902597
epoch 2500, training accuracy 0.902958
epoch 2510, training accuracy 0.902958
epoch 2520, training accuracy 0.902958
epoch 2530, training accuracy 0.903319
epoch 2540, training accuracy 0.903319
epoch 2550, training accuracy 0.903319
epoch 2560, training accuracy 0.903319
epoch 2570, training accuracy 0.903319
epoch 2580, training accuracy 0.903680
epoch 2590, training accuracy 0.903680
epoch 2600, training accuracy 0.904040
epoch 2610, training accuracy 0.904040
epoch 2620, training accuracy 0.904401
epoch 2630, training accuracy 0.904401
epoch 2640, training accuracy 0.904401
epoch 2650, training accuracy 0.904040
epoch 2660, training accuracy 0.904040
epoch 2670, training accuracy 0.904401
epoch 2680, training accuracy 0.904762
epoch 2690, training accuracy 0.904762
epoch 2700, training accuracy 0.905123
epoch 2710, training accuracy 0.905123
epoch 2720, training accuracy 0.905123
epoch 2730, training accuracy 0.905123
epoch 2740, training accuracy 0.905123
epoch 2750, training accuracy 0.905123
epoch 2760, training accuracy 0.904762
epoch 2770, training accuracy 0.904762
epoch 2780, training accuracy 0.904762
epoch 2790, training accuracy 0.905123
epoch 2800, training accuracy 0.905123
epoch 2810, training accuracy 0.905123
epoch 2820, training accuracy 0.905123
epoch 2830, training accuracy 0.905123
epoch 2840, training accuracy 0.905123
epoch 2850, training accuracy 0.905483
epoch 2860, training accuracy 0.905483
epoch 2870, training accuracy 0.905483
epoch 2880, training accuracy 0.905483
epoch 2890, training accuracy 0.905483
epoch 2900, training accuracy 0.905483
epoch 2910, training accuracy 0.905483
epoch 2920, training accuracy 0.905844
epoch 2930, training accuracy 0.906205
epoch 2940, training accuracy 0.906205
epoch 2950, training accuracy 0.906205
epoch 2960, training accuracy 0.906205
epoch 2970, training accuracy 0.906205
epoch 2980, training accuracy 0.906205
epoch 2990, training accuracy 0.906205
epoch 3000, training accuracy 0.906205
/tmp/dich_doch_validate.py loaded, containing 634 entries, class distribution: [317 317]
correct: [241, 225]
incorrect: [22, 22]
accuracy: [0.9163498098859315, 0.9109311740890689]
unclassified: [54, 70]
total accuracy: [0.7602523659305994, 0.7097791798107256]
Sun Sep 24 13:22:58 CEST 2017 finished, res_training/deu/dich_doch
